cell_class,gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_patients,n_control_patients,passes_expression_filter,rank_score
epithelial cells,PDK4,0.13727627937258632,1.113151098976012,-0.9758748196034257,down_in_CKD,-3.9463197059406903,-12.347290452675809,3.3780285392585915e-10,3.131432455892714e-06,0.10943960149439602,0.6032145267161524,-0.49377492522175637,15,18,True,21.197521176764003
epithelial cells,ZFAND5,0.36397081664563313,0.9990152437681333,-0.6350444271225002,down_in_CKD,-3.7134579376100754,-11.24806995366011,2.039671942114248e-11,3.7815517806798156e-07,0.2959651307596513,0.6476903257468867,-0.35172519498723537,15,18,True,15.14520764413852
epithelial cells,CEBPD,0.519409929872233,1.2312049593201413,-0.7117950294479083,down_in_CKD,-2.64192482453211,-8.074573807913543,3.099202335753787e-08,0.00010447129328159128,0.34968866749688665,0.6632108459603705,-0.31352217846348385,15,18,True,7.486311858960413
epithelial cells,GADD45A,0.2625419893396901,0.7702723820888959,-0.5077303927492058,down_in_CKD,-2.9711929444450327,-9.173861170929461,8.456544206703397e-09,6.27137318369124e-05,0.19915317559153176,0.5113183240292006,-0.31216514843766885,15,18,True,6.339951456494267
epithelial cells,PER1,0.05222854921291577,0.3396638046764479,-0.28743525546353216,down_in_CKD,-3.811564095099948,-11.856824174452171,2.707375344959586e-10,3.131432455892714e-06,0.04430884184308842,0.319244218146126,-0.2749353763030376,15,18,True,6.0303422685981385
epithelial cells,NR4A1,0.05266829106423073,0.9277428796057767,-0.875074588541546,down_in_CKD,-2.3079008807227837,-7.242414324164179,1.2588332152536182e-06,0.0012615550168001124,0.05098381070983811,0.495491074167229,-0.4445072634573909,15,18,True,5.854967561253119
epithelial cells,ERRFI1,0.0681951410118819,0.4706105074514693,-0.4024153664395874,down_in_CKD,-2.9396236168074084,-9.172281757400206,2.5699089536608825e-08,0.00010447129328159128,0.05285180572851806,0.33979510459481016,-0.2869432988662921,15,18,True,4.709326398377458
epithelial cells,SLC25A33,0.0961215204493148,0.28040357228695406,-0.18428205183763927,down_in_CKD,-3.799071129621968,-11.530368157467473,1.5147003397140607e-11,3.7815517806798156e-07,0.08545454545454545,0.27329611680265015,-0.1878415713481047,15,18,True,4.496277197015424
epithelial cells,RASD1,0.1467775629736038,0.6182677584502714,-0.4714901954766676,down_in_CKD,-2.4796193045216572,-7.55179699309347,7.781690797485257e-08,0.00024045424564229443,0.10722291407222914,0.37028403165449975,-0.2630611175822706,15,18,True,4.230993556288048
epithelial cells,NFKBIA,0.21422569882067527,0.580712533591886,-0.36648683477121075,down_in_CKD,-2.77316444726564,-8.47377629006832,1.2926594216561738e-08,7.787295072062117e-05,0.17576587795765877,0.43377706889147905,-0.2580111909338203,15,18,True,4.175699878639524
epithelial cells,DUSP1,0.3468642763190954,0.9461177245261102,-0.5992534482070149,down_in_CKD,-2.083651878490926,-6.0771360125070215,9.8736767302985e-07,0.0011441122911233388,0.23887920298879203,0.5461628120974173,-0.3072836091086253,15,18,True,3.6729006813190948
epithelial cells,KLF9,0.1544450521204153,0.46056180093794896,-0.3061167488175337,down_in_CKD,-2.7006030695014167,-8.271859546420881,2.410697255714614e-08,0.00010447129328159128,0.12049813200498131,0.3873382001104227,-0.26684006810544136,15,18,True,3.291094533204477
epithelial cells,KLF6,0.2962255209082413,0.9537407547673246,-0.6575152338590833,down_in_CKD,-1.9523877523358906,-6.046459183907349,6.139394961026049e-06,0.0028816299386689352,0.21496886674968868,0.5513158701920128,-0.3363470034423241,15,18,True,3.261125153323741
epithelial cells,GABARAPL1,0.4367025099177025,0.7471551951525908,-0.3104526852348883,down_in_CKD,-2.6170606515346173,-7.97261193755587,3.05436587519946e-08,0.00010447129328159128,0.3289663760896638,0.5448745475737685,-0.21590817148410474,15,18,True,3.234459491120232
epithelial cells,USP2,0.12463307236459793,0.496846561748149,-0.3722134893835511,down_in_CKD,-2.464855126775991,-7.592349949598338,1.56097539856249e-07,0.00034091792456032705,0.089813200498132,0.3577694619961965,-0.2679562614980645,15,18,True,3.181128478544009
epithelial cells,CYCS,0.811383159420258,1.2390969660072655,-0.42771380658700753,down_in_CKD,-2.1891418990870255,-6.574908144081306,4.301706537069372e-07,0.000693509906063184,0.5194769613947696,0.7048033862953194,-0.18532642490054974,15,18,True,2.9578051973410706
epithelial cells,BTG2,0.19056955084547217,0.8204559629100733,-0.629886412064601,down_in_CKD,-1.8863134047708225,-5.88769142846446,1.280637387963244e-05,0.004024240198786193,0.16311332503113324,0.4699711674130421,-0.3068578423819089,15,18,True,2.8460264065743823
epithelial cells,WFDC2,1.9171665069245174,1.0117921584803329,0.9053743484441845,up_in_CKD,1.7194221924529385,4.623798189920225,0.00018978245079263455,0.016636248877992647,0.7021917808219178,0.46690387092816393,0.23528790989375387,15,18,True,2.769319953259144
epithelial cells,IER3,0.45371022305214603,1.076309366645261,-0.622599143593115,down_in_CKD,-1.7743191812390748,-5.446525080053871,1.6792847327111878e-05,0.004276123183124439,0.30338729763387295,0.5080669897552298,-0.20467969212135684,15,18,True,2.616954205067463
