cell_class,gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_patients,n_control_patients,passes_expression_filter,rank_score
immune cells,SRGN,1.0229525322265172,2.1949252920565043,-1.1719727598299872,down_in_CKD,-4.61694907307568,-12.948581370828196,2.386558502026276e-13,8.84935892551343e-09,0.5104712041884817,0.8418194161575017,-0.33134821196902,14,18,True,43.57476530979616
immune cells,CXCR4,0.5114150065675449,1.7829613742620414,-1.2715463676944965,down_in_CKD,-4.072365703957655,-12.18662934858165,1.0301109422512898e-12,1.273217124622594e-08,0.2879581151832461,0.7807196198234895,-0.4927615046402434,14,18,True,40.88240838317152
immune cells,TSC22D3,0.6871474633428193,1.858482912162935,-1.1713354488201158,down_in_CKD,-4.098565833836412,-11.898288768886955,6.908833952054022e-13,1.273217124622594e-08,0.3641652123327516,0.7949762389680923,-0.4308110266353407,14,18,True,37.902748297488365
immune cells,DDIT4,0.2457829515308409,1.0433023972851634,-0.7975194457543224,down_in_CKD,-3.3471675936170797,-10.377115762120896,5.275713352155208e-10,3.130016992797699e-06,0.14485165794066318,0.5098438560760353,-0.36499219813537215,14,18,True,14.693759633225053
immune cells,FKBP5,0.13529741078086202,0.8663805476335242,-0.7310831368526622,down_in_CKD,-3.312111819345595,-10.473008177248781,2.9000997984449185e-09,1.1948411169593065e-05,0.08551483420593368,0.4412763068567549,-0.3557614726508212,14,18,True,11.919944423464509
immune cells,BTG1,1.2084124778349745,2.1393180489936268,-0.9309055711586522,down_in_CKD,-2.6720868388304924,-7.737240903984489,1.2439145743413128e-08,3.843696034714657e-05,0.589586969168121,0.8594704684317719,-0.26988349926365085,14,18,True,10.982762481187585
immune cells,METRNL,0.2592702602328559,0.7077310322169116,-0.4484607719840557,down_in_CKD,-3.5900863220720067,-10.892631911987413,3.381392323164446e-11,2.5076405468587534e-07,0.1602675974403723,0.3822131704005431,-0.22194557296017078,14,18,True,10.627267934080583
immune cells,SMAP2,0.33238624551380586,0.9088678417256071,-0.5764815962118013,down_in_CKD,-3.2170475582887987,-9.886692278866251,6.432483830250813e-10,3.130016992797699e-06,0.20724258289703315,0.4820095044127631,-0.2747669215157299,14,18,True,10.20838687271008
immune cells,HMGB2,0.32141558536893344,0.6815411621518798,-0.3601255767829463,down_in_CKD,-3.8176959733028943,-10.825056772323668,1.0348725061754157e-11,9.593268132246103e-08,0.19444444444444445,0.40325865580448067,-0.20881421136003622,14,18,True,9.648742993034073
immune cells,CEBPD,0.49825156979766755,1.3358370795046357,-0.8375855097069682,down_in_CKD,-2.3601014812017596,-7.192636131164741,1.427234167917193e-07,0.00023009496933204136,0.24796393251890633,0.44738628649015616,-0.19942235397124983,14,18,True,7.191733982853771
immune cells,ISG20,0.3330004154849847,0.8020670872154314,-0.4690666717304467,down_in_CKD,-3.0126475127055294,-8.432279622374745,3.798621449683544e-09,1.4085288335426581e-05,0.18368237347294938,0.4412763068567549,-0.25759393338380554,14,18,True,6.855436998672837
immune cells,HERPUD1,0.47407496790723513,1.0037607792622059,-0.5296858113549707,down_in_CKD,-2.6379149938742583,-7.956939292628802,1.5145713111822186e-08,4.32002340143359e-05,0.25770796974985455,0.46707399864222676,-0.2093660288923722,14,18,True,6.09838750754791
immune cells,MCL1,0.38407397078472616,0.7818560143315014,-0.39778204354677527,down_in_CKD,-2.6778456274288125,-8.024985595595336,1.0159691674917891e-08,3.424739702781413e-05,0.24650959860383945,0.43245078071961984,-0.1859411821157804,14,18,True,4.756509828784195
immune cells,ZFP36L2,1.0018851941956888,1.6164874884592222,-0.6146022942635334,down_in_CKD,-2.169608362377966,-6.4789646128819625,4.87975862084075e-07,0.0005654420301899219,0.5049447353112274,0.7562797012898846,-0.25133496597865723,14,18,True,4.3305160148975155
immune cells,CEBPB,0.5012088695430924,0.9440922255928987,-0.44288335604980633,down_in_CKD,-2.4492315608474438,-7.00546049317598,9.355058254873532e-08,0.0001734427800453553,0.27123327515997675,0.4575695858791582,-0.18633631071918144,14,18,True,4.079477100992951
immune cells,GLUL,0.24927668743817116,0.6208814162189568,-0.3716047287807856,down_in_CKD,-2.546732395193815,-7.582010938123689,2.5590479764864855e-08,6.777821354865635e-05,0.14979639325189065,0.3421588594704684,-0.19236246621857778,14,18,True,3.9453637668382013
immune cells,RGS1,0.24149435313392092,0.8016941520601971,-0.5601997989262761,down_in_CKD,-2.17800013232512,-6.686028862818745,6.350425101928509e-07,0.000692569890527968,0.14252472367655614,0.3652410047522064,-0.22271628107565025,14,18,True,3.8549984927939698
immune cells,TXNIP,1.624216376330596,2.2353501679641696,-0.6111337916335737,down_in_CKD,-2.0753854649045422,-6.2238312401907665,1.045261740928416e-06,0.0009689576338406416,0.689499709133217,0.803122878479294,-0.11362316934607697,14,18,True,3.822384724397309
immune cells,CELF2,0.42835563718282066,0.8088496598066796,-0.3804940226238589,down_in_CKD,-2.4481182379556174,-7.444830822288575,7.15488490804803e-08,0.0001481096667090801,0.25625363583478766,0.44059742023082143,-0.18434378439603377,14,18,True,3.5670799461799265
immune cells,CYTIP,0.32293323031974214,0.7234726713506766,-0.4005394410309345,down_in_CKD,-2.3441172356486235,-6.832209896955227,1.412138716201641e-07,0.00023009496933204136,0.1893542757417103,0.42973523421588594,-0.24038095847417565,14,18,True,3.4158469023873095
immune cells,SOCS1,0.16088763594566766,0.513585020253933,-0.35269738430826536,down_in_CKD,-2.542270753772674,-7.920526463210549,8.441257590286483e-08,0.00016473780602516987,0.08900523560209424,0.296673455532926,-0.2076682199308318,14,18,True,3.3922208010180883
