cell_class,gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_patients,n_control_patients,passes_expression_filter,rank_score
epithelial cells,WFDC2,1.9171665069245174,1.0117921584803329,0.9053743484441845,up_in_CKD,1.7194221924529385,4.623798189920225,0.00018978245079263455,0.016636248877992647,0.7021917808219178,0.46690387092816393,0.23528790989375387,15,18,True,2.769319953259144
epithelial cells,ITGB8,0.5409837326744807,0.2323872701609255,0.3085964625135552,up_in_CKD,2.1478221864539555,5.707507640891138,2.6460469775597038e-05,0.005704384995808943,0.33476961394769617,0.1964910128212993,0.13827860112639687,15,18,True,1.487207963989085
epithelial cells,TNFSF10,0.5359464900358252,0.22182300902273397,0.3141234810130912,up_in_CKD,1.8656164442599736,4.979585488658656,0.00010414448324459093,0.012067741995966975,0.2959651307596513,0.1895589227654745,0.1064062079941768,15,18,True,1.1242322480096123
epithelial cells,TBL1XR1,0.38216370742471095,0.22515406903879112,0.15700963838591983,up_in_CKD,2.506838297491226,6.769659286022838,1.5683620336446678e-06,0.0015303911633564283,0.2946450809464508,0.24139623335991656,0.053248847586534254,15,18,True,1.1080554909366835
epithelial cells,PIGR,1.028209474162355,0.5392602062077025,0.48894926795465254,up_in_CKD,1.5340246072926107,4.02146247008897,0.001121075079002057,0.0398556701144739,0.5416936488169365,0.3994233482608429,0.14227030055609358,15,18,True,1.0497166760922247
epithelial cells,TSPAN1,0.8197140393651529,0.41649255298428994,0.4032214863808629,up_in_CKD,1.6099923129877607,4.247913285877262,0.0006293963711346969,0.02993292426966894,0.45327521793275216,0.29783448868167595,0.15544072925107622,15,18,True,0.9892588203857262
epithelial cells,CLU,1.5266074257321127,0.9676785371719449,0.5589288885601679,up_in_CKD,1.3377196475049244,3.602123695472637,0.0018943982120871224,0.05218743365838819,0.6346948941469489,0.5227900128826453,0.11190488126430365,15,18,True,0.9588633215483885
epithelial cells,TNFRSF11B,0.3505472308060547,0.12946469614132358,0.22108253466473113,up_in_CKD,2.0204496601401054,5.352305199019282,5.968999728759673e-05,0.008748241499699948,0.20914072229140723,0.12079013557450463,0.0883505867169026,15,18,True,0.9193154535766125
epithelial cells,MAP3K1,0.24723688472385172,0.108251902172855,0.13898498255099673,up_in_CKD,2.471291968131452,6.599673844810054,3.735077093653425e-06,0.00227651327355484,0.19753424657534246,0.12747684191153916,0.07005740466380331,15,18,True,0.9077049392834993
epithelial cells,LRRK2,0.3015572085462474,0.1110402944758585,0.1905169140703889,up_in_CKD,2.1181940888077597,5.6102239066962465,3.5949026870071886e-05,0.0064708248366129395,0.20605230386052303,0.11373535365928471,0.09231695020123833,15,18,True,0.8833911786667814
epithelial cells,PROM1,0.32111803857834126,0.07659686717424408,0.24452117140409718,up_in_CKD,1.9527129177186524,5.096431513683538,0.00015096339922452906,0.014834152902372544,0.20707347447073474,0.07735721734862892,0.12971625712210583,15,18,True,0.8731848216166223
