cell_class,gene,mean_expr_case,mean_expr_control,diff_mean_log_expr,direction,cohen_d,t_stat,p_value,adj_p_value,pct_expr_case,pct_expr_control,pct_expr_diff,n_case_patients,n_control_patients,passes_expression_filter,rank_score
endothelial cells,MT2A,1.0206606679662025,3.2764307304907887,-2.2557700625245865,down_in_CKD,-4.558898668201697,-13.948890295000634,3.3480240282585245e-13,6.207236548391305e-09,0.4853995901639344,0.921978021978022,-0.4365784318140876,14,18,True,84.40041519349066
endothelial cells,KLF9,0.4436471542713175,1.327241668491655,-0.8835945142203375,down_in_CKD,-5.055721166222607,-13.871764454602094,2.4554079958545805e-13,6.207236548391305e-09,0.2617827868852459,0.6842490842490843,-0.42246629736383834,14,18,True,36.66282618605374
endothelial cells,MT1E,0.464325127404606,1.581657218272855,-1.117332090868249,down_in_CKD,-4.189271765580927,-12.755070561077922,1.4381304005816878e-12,1.777529175118966e-08,0.26895491803278687,0.6871794871794872,-0.4182245691467003,14,18,True,36.27711811891196
endothelial cells,CEBPB,0.1699426791065959,0.9830130085349269,-0.813070329428331,down_in_CKD,-4.245042320442925,-13.34726634529792,2.4554450986146094e-11,1.5174650709438287e-07,0.1011782786885246,0.5307692307692308,-0.4295909520807062,14,18,True,23.535491248624464
endothelial cells,CEBPD,0.3114415788744816,1.600288026427167,-1.2888464475526855,down_in_CKD,-3.106365109982781,-9.839887492391608,9.233056758052636e-09,1.4265072691191323e-05,0.19800204918032788,0.684981684981685,-0.4869796358013571,14,18,True,19.400482577801228
endothelial cells,TSC22D3,0.45293321714749296,1.1917602469816884,-0.7388270298341955,down_in_CKD,-3.6249348146095586,-10.92005641561155,1.9609122581714702e-11,1.4542125306599623e-07,0.2681864754098361,0.6457875457875458,-0.37760107037770974,14,18,True,18.311848790769538
endothelial cells,SEC14L1,1.079861764416264,1.824234244421574,-0.74437248000531,down_in_CKD,-3.784910019086021,-10.304803333521027,2.423782772057083e-10,8.170351380716057e-07,0.5558401639344263,0.8205128205128205,-0.2646726565783942,14,18,True,17.15154859508283
endothelial cells,MT1M,0.20199627614618754,1.3978931279141993,-1.1958968517680117,down_in_CKD,-3.0233818206829666,-9.594546759366793,1.6065502138677743e-08,2.1089584194049243e-05,0.12038934426229508,0.6216117216117216,-0.5012223773494265,14,18,True,16.906546571126917
endothelial cells,FKBP5,0.11069859216575735,0.976326193020862,-0.8656276008551046,down_in_CKD,-3.498699443476396,-11.061926294533754,1.1804252619665264e-09,2.735635544607425e-06,0.08094262295081968,0.5490842490842491,-0.46814162613342947,14,18,True,16.84776301247211
endothelial cells,APOLD1,0.08514488104577282,1.1184459425312134,-1.0333010614854405,down_in_CKD,-3.2075101548593743,-10.20523701022102,7.965583073442046e-09,1.2841905233183959e-05,0.052510245901639344,0.5326007326007326,-0.48009048669909327,14,18,True,16.21158504821194
endothelial cells,GRASP,0.45967456944877677,1.1783599853586864,-0.7186854159099096,down_in_CKD,-3.384286909438438,-9.848968644676434,6.573667027322537e-11,3.046894667163996e-07,0.25973360655737704,0.6168498168498169,-0.35711621029243984,14,18,True,15.848807233405834
endothelial cells,MT1X,0.3226606677141639,1.430899809560333,-1.108239141846169,down_in_CKD,-2.804176483549008,-8.82788993335129,3.026465304909701e-08,3.300627456060345e-05,0.19262295081967212,0.6399267399267399,-0.44730378910706775,14,18,True,13.92684929539561
endothelial cells,ESM1,0.17201675016741033,0.7891804046971191,-0.6171636545297088,down_in_CKD,-3.3179558991204696,-10.066895213399446,1.8015887189771979e-10,6.68029096996745e-07,0.09042008196721311,0.36336996336996336,-0.2729498814027502,14,18,True,12.645101048980116
endothelial cells,DUSP1,0.3826492786867917,1.5230619569458141,-1.1404126782590225,down_in_CKD,-2.5832529426040627,-8.128388830941676,1.0551235936646882e-07,9.542434842216254e-05,0.23181352459016394,0.6476190476190476,-0.41580552302888374,14,18,True,11.843821094442486
endothelial cells,NEDD9,0.27115748585199284,0.7931202184389453,-0.5219627325869525,down_in_CKD,-3.413123235947897,-9.998442546893065,4.957280268683953e-11,2.625942176611443e-07,0.16290983606557377,0.45567765567765567,-0.29276781961208187,14,18,True,11.723695707628202
endothelial cells,TSC22D1,0.6806321907643305,1.3680663712099548,-0.6874341804456243,down_in_CKD,-2.9644872274687097,-8.440213384406205,2.4137268060086544e-09,4.7105784193053105e-06,0.3524590163934426,0.6183150183150183,-0.2658560019215757,14,18,True,10.8556879293892
endothelial cells,CSRNP1,0.04722077671424293,0.5361322293972305,-0.4889114526829876,down_in_CKD,-3.599092889548776,-11.444196845498393,1.2693176187874151e-09,2.768605723802197e-06,0.02663934426229508,0.35604395604395606,-0.32940461178166097,14,18,True,9.779607056582485
endothelial cells,ARRDC2,0.11938638110366058,0.5638154799835533,-0.44442909887989274,down_in_CKD,-3.646893855294444,-11.522887149965817,5.603502406897574e-10,1.598291301905862e-06,0.07479508196721311,0.3710622710622711,-0.29626718909505795,14,18,True,9.394631860012794
endothelial cells,PER1,0.10592084106121512,0.4178346930748797,-0.31191385201366456,down_in_CKD,-3.8983668975465515,-11.565119694444169,2.272914507231747e-12,2.1069917482038294e-08,0.07402663934426229,0.2725274725274725,-0.1985008331832102,14,18,True,9.334077760337331
endothelial cells,NFKBIA,0.6060579233045104,1.189318162610161,-0.5832602393056506,down_in_CKD,-2.879350462804317,-8.193812695403983,4.5197605759050095e-09,7.980605816883702e-06,0.34451844262295084,0.617948717948718,-0.27343027532576714,14,18,True,8.56157521829588
endothelial cells,TMEM204,0.6058615807877816,1.2000472881525943,-0.5941857073648127,down_in_CKD,-2.6178937999362786,-7.67371942458108,1.548745052227704e-08,2.1089584194049243e-05,0.34349385245901637,0.6391941391941391,-0.2957002867351228,14,18,True,7.273482709129051
endothelial cells,TACC1,0.7332274412461341,1.329327952468705,-0.5961005112225708,down_in_CKD,-2.5647448779736592,-7.561780960239851,2.231666474637282e-08,2.7583397626516802e-05,0.41572745901639346,0.6736263736263737,-0.2578989146099802,14,18,True,6.970546216965919
endothelial cells,NOSTRIN,0.548734978142964,1.0086840033465347,-0.4599490252035707,down_in_CKD,-2.840324529394577,-8.379991972274869,2.7837089099640098e-09,5.160996319073274e-06,0.31839139344262296,0.5619047619047619,-0.24351336846213895,14,18,True,6.907308676233705
endothelial cells,ITPRIP,0.12709233459440722,0.5288341451243413,-0.40174181052993413,down_in_CKD,-3.065082657673049,-9.318878195673934,9.965578957644162e-10,2.6394547696388967e-06,0.07633196721311475,0.3128205128205128,-0.23648854560739807,14,18,True,6.869190385161338
endothelial cells,CDC42EP4,0.17022157320602202,0.4757708003943828,-0.30554922718836075,down_in_CKD,-3.4686780273885485,-10.618033881185758,1.1442237303018269e-10,4.714201768843527e-07,0.10553278688524591,0.31794871794871793,-0.212415931063472,14,18,True,6.705250316021713
endothelial cells,HERPUD1,0.5847629028826911,1.1298245755937995,-0.5450616727111084,down_in_CKD,-2.3154225333886926,-7.123468671836614,2.485167244330014e-07,0.00019606383280799348,0.3360655737704918,0.5860805860805861,-0.2500150123100943,14,18,True,4.679172627876639
endothelial cells,ZFP36,0.3211992047584382,1.374064753670299,-1.0528655489118608,down_in_CKD,-1.8511107759047685,-5.838602765874161,1.2228822782379828e-05,0.004048613828309322,0.19211065573770492,0.5904761904761905,-0.39836553473848557,14,18,True,4.663289961007777
endothelial cells,F2RL3,0.025841251479403186,0.3498421738630494,-0.3240009223836462,down_in_CKD,-3.037132388285123,-9.61829331156644,1.2885618524409573e-08,1.9111949395404277e-05,0.015368852459016393,0.23663003663003662,-0.22126118417102023,14,18,True,4.643354890368902
endothelial cells,IFNGR1,0.39159589965103964,0.6393107892967872,-0.24771488964574756,down_in_CKD,-3.126819073824352,-9.209798516336951,3.51571574477118e-10,1.0863561651342945e-06,0.234375,0.41135531135531134,-0.17698031135531134,14,18,True,4.619495210708911
endothelial cells,EPAS1,1.7681558306038245,2.502090190297763,-0.7339343596939383,down_in_CKD,-2.4213801482578385,-6.270810009686222,6.940556044317748e-06,0.002573558181233021,0.7430840163934426,0.9344322344322344,-0.19134821803879187,14,18,True,4.6018283162186036
endothelial cells,ANKS1A,0.116550029537232,0.4164117713638001,-0.2998617418265681,down_in_CKD,-2.9036089624728025,-8.977146199107537,6.040889856658187e-09,1.0181645267494798e-05,0.07248975409836066,0.28498168498168497,-0.2124919308833243,14,18,True,4.3465992525164285
endothelial cells,CNN3,1.003646457141916,1.5344664292220367,-0.5308199720801208,down_in_CKD,-2.289266063213501,-6.493722575399357,4.091165934381382e-07,0.0002917316016285801,0.5151127049180327,0.7454212454212454,-0.2303085405032127,14,18,True,4.295710181700488
endothelial cells,MGP,1.359871814422029,2.499898976567585,-1.140027162145556,down_in_CKD,-1.796089368389661,-4.9722230393663995,3.444602147040363e-05,0.008396251402521149,0.49667008196721313,0.8179487179487179,-0.3212786359815048,14,18,True,4.250623288238466
endothelial cells,SPRY1,0.27555601806386837,0.8879641578501962,-0.6124081397863279,down_in_CKD,-2.1367370614919694,-6.760815739442111,2.069054215901656e-06,0.0010367639233193702,0.1554815573770492,0.44175824175824174,-0.2862766843811926,14,18,True,3.905147523712267
endothelial cells,PDK4,0.27587243505912623,0.7171942882275807,-0.44132185316845446,down_in_CKD,-2.295924767535441,-6.791827368411497,1.801554220659395e-07,0.00014522093587402256,0.17853483606557377,0.40293040293040294,-0.22439556686482917,14,18,True,3.888792307019551
endothelial cells,HLA-E,2.535480056332008,2.9779795669928113,-0.4424995106608032,down_in_CKD,-2.401005681874951,-6.686240967629883,3.399135286963225e-07,0.0002572243600828498,0.9144467213114754,0.96996336996337,-0.05551664865189454,14,18,True,3.8138417992645066
endothelial cells,RND3,0.14804577992421297,0.4093861450023906,-0.26134036507817765,down_in_CKD,-2.77669128047938,-8.621564715617811,1.6494011370750486e-08,2.1089584194049243e-05,0.09195696721311475,0.2600732600732601,-0.16811629286014534,14,18,True,3.3931438770911533
endothelial cells,KIAA1211L,0.050185690226332534,0.23718902875414008,-0.18700333852780754,down_in_CKD,-3.122193546081341,-9.586219870558521,1.0896879049413914e-09,2.6937085010151195e-06,0.036116803278688527,0.17435897435897435,-0.13824217108028583,14,18,True,3.251898935024757
endothelial cells,RHOB,0.925299727878044,1.4818873802218895,-0.5565876523438454,down_in_CKD,-1.97465757292981,-5.916584924653482,2.3379741217176016e-06,0.0011406852688590613,0.445952868852459,0.7128205128205128,-0.26686764396805385,14,18,True,3.2343808147507875
endothelial cells,CMTM8,0.19628414193587454,0.48631258746839595,-0.2900284455325214,down_in_CKD,-2.5342224976399508,-7.275298253241637,4.398594819567511e-08,4.4081052948530624e-05,0.11936475409836066,0.3117216117216117,-0.19235685762325105,14,18,True,3.2014600506304234
endothelial cells,IL4R,0.1856967484705723,0.5058122396027083,-0.320115491132136,down_in_CKD,-2.343835004482894,-7.027278397058849,1.2687290069453092e-07,0.00010940574785472572,0.12192622950819672,0.321978021978022,-0.2000517924698253,14,18,True,2.971899840204396
endothelial cells,DHRS3,0.5336448780385934,1.0053866302707144,-0.471741752232121,down_in_CKD,-2.033429244594876,-6.031837280007006,1.4699161119112808e-06,0.0008258255974192469,0.3140368852459016,0.5534798534798535,-0.2394429682339519,14,18,True,2.957485573115655
endothelial cells,VAMP5,1.2698654946247812,1.648341886060563,-0.3784763914357818,down_in_CKD,-2.198377744241039,-6.421107189539055,4.3952528353980563e-07,0.00030750183988030176,0.6065573770491803,0.7622710622710622,-0.1557136852218819,14,18,True,2.922230376974399
endothelial cells,PHC2,0.29270846319365046,0.5419560652058109,-0.2492476020121604,down_in_CKD,-2.566246953319595,-7.490559637889162,2.4266170370328805e-08,2.9025470881670713e-05,0.18109631147540983,0.3424908424908425,-0.16139453101543266,14,18,True,2.9021465731988
endothelial cells,FAM107A,0.3468605915670543,0.8640082272314299,-0.5171476356643756,down_in_CKD,-1.961185720266741,-6.059153471302776,3.560671394597776e-06,0.0016101182355083602,0.21362704918032788,0.46923076923076923,-0.25560372005044135,14,18,True,2.8328678596546544
endothelial cells,CA4,0.22212943851597816,0.6849151789178214,-0.4627857404018432,down_in_CKD,-2.0109162539382224,-6.0822831335710985,1.829088533550958e-06,0.000929076751014651,0.11654713114754098,0.3344322344322344,-0.21788510328469343,14,18,True,2.821602036934539
endothelial cells,RNF115,0.21085841812061498,0.5014266305825268,-0.2905682124619118,down_in_CKD,-2.409551963359933,-6.924987884125987,1.1185496553769662e-07,9.875195528899502e-05,0.12423155737704918,0.3509157509157509,-0.22668419353870173,14,18,True,2.8043755941947444
endothelial cells,STARD8,0.21093129749323206,0.4613246171213038,-0.25039331962807176,down_in_CKD,-2.5171019028525126,-7.295635464277898,4.0033209039767134e-08,4.1234205310960146e-05,0.1365266393442623,0.31245421245421245,-0.17592757310995016,14,18,True,2.7635518485120367
endothelial cells,RHOU,0.12997508902973168,0.37247944120334336,-0.2425043521736117,down_in_CKD,-2.5175640563161394,-7.353154600860995,3.507866147063037e-08,3.71633362094564e-05,0.08452868852459017,0.2575091575091575,-0.17298046898456731,14,18,True,2.7045346423364767
endothelial cells,MAP3K6,0.23030255157757398,0.5038588697122358,-0.27355631813466186,down_in_CKD,-2.461728313541529,-6.938328168812161,1.3778444487962612e-07,0.00011611470945764855,0.14651639344262296,0.3395604395604396,-0.19304404611781661,14,18,True,2.649988883220294
endothelial cells,NCOA7,0.627538718170771,1.0444168097812319,-0.41687809161046085,down_in_CKD,-2.0705963454586813,-5.961790004855562,1.5717025466915203e-06,0.0008687421546420651,0.3511782786885246,0.5545787545787546,-0.20340047589023003,14,18,True,2.642307297797158
endothelial cells,PRDM1,0.08057892461695437,0.24100864739488678,-0.1604297227779324,down_in_CKD,-2.9540475227527314,-8.511274255476886,1.733575647002858e-09,3.5711658328258876e-06,0.048668032786885244,0.16080586080586082,-0.11213782801897557,14,18,True,2.581516071769434
endothelial cells,CD9,1.4988127851683828,1.8883811629877623,-0.3895683778193795,down_in_CKD,-2.1626448295376663,-6.044560663864411,1.7078773533975103e-06,0.0008939424526196607,0.6693135245901639,0.8227106227106227,-0.15339709812045876,14,18,True,2.568515712555942
endothelial cells,SPRY4,0.11706004152856289,0.32038024509552565,-0.20332020356696276,down_in_CKD,-2.6206557501537744,-7.652653216096076,1.5866967349685272e-08,2.1089584194049243e-05,0.07120901639344263,0.21611721611721613,-0.1449081997237735,14,18,True,2.491487408809408
endothelial cells,B2M,4.313280210684042,4.659270079513096,-0.34598986882905347,down_in_CKD,-2.1977930668401897,-6.166258747191029,1.1591994468403936e-06,0.0006837127180378084,0.9961577868852459,0.9985347985347985,-0.0023770116495526183,14,18,True,2.406806808869183
endothelial cells,HYAL2,1.2538014729682116,1.89036012283109,-0.6365586498628784,down_in_CKD,-1.8381098317997768,-5.011279393229898,3.843144224007277e-05,0.009072147160865586,0.5776127049180327,0.8153846153846154,-0.23777191046658264,14,18,True,2.3896113613053473
endothelial cells,TAL1,0.10161622700137951,0.3031569435010925,-0.201540716499713,down_in_CKD,-2.598447095796681,-7.958105780125961,2.991336011615768e-08,3.300627456060345e-05,0.07172131147540983,0.21245421245421245,-0.14073290097880262,14,18,True,2.3468791436221688
endothelial cells,SYNE1,0.7954881640767457,1.3299298174327818,-0.5344416533560361,down_in_CKD,-1.899676349415811,-5.256809804585873,1.625484645669265e-05,0.005107878869611555,0.40010245901639346,0.6285714285714286,-0.2284689695550351,14,18,True,2.3267457968470207
endothelial cells,AKAP12,0.24237420730919296,0.8448255029925451,-0.6024512956833521,down_in_CKD,-1.7246869752726874,-5.305250862899242,1.9920941619859436e-05,0.005909348122115103,0.12295081967213115,0.4293040293040293,-0.30635320963189816,14,18,True,2.3154593034046047
endothelial cells,GAS6,1.0351724697553888,1.398571907439316,-0.36339943768392713,down_in_CKD,-2.2525931552170815,-6.049424881185109,4.053462372427804e-06,0.0017276136180416433,0.5035860655737705,0.7164835164835165,-0.212897450909746,14,18,True,2.261401572317413
endothelial cells,RRAS,0.6893757579658688,1.0219415783043404,-0.3325658203384716,down_in_CKD,-2.1641941949775867,-6.105957150185298,1.2568983198010523e-06,0.0007282154640347347,0.3729508196721312,0.5681318681318681,-0.19518104845973694,14,18,True,2.258347704322441
endothelial cells,SMTN,0.18797026284317347,0.4053125241232943,-0.21734226128012085,down_in_CKD,-2.43445506444009,-7.175903630431497,6.145626855144588e-08,5.8430729176605464e-05,0.1257684426229508,0.28205128205128205,-0.15628283942833124,14,18,True,2.23991228601042
endothelial cells,FZD4,0.4224961250325045,0.7192289936676721,-0.2967328686351676,down_in_CKD,-2.205548359712112,-6.337667029624086,5.581368686586212e-07,0.00038325398314558655,0.2551229508196721,0.4472527472527473,-0.19212979643307515,14,18,True,2.2359668394121717
endothelial cells,MXD4,0.5311382231355967,0.8868429714771797,-0.35570474834158305,down_in_CKD,-2.010155570426729,-5.797751194070131,2.474191373886075e-06,0.0011914677421259179,0.3276127049180328,0.5282051282051282,-0.20059242328709542,14,18,True,2.0906651427000065
endothelial cells,ZFAND5,0.3302064552029548,0.6242697789539036,-0.2940633237509488,down_in_CKD,-2.155758576366766,-6.172845039417544,8.992926997591827e-07,0.0005651825984249237,0.21337090163934427,0.4021978021978022,-0.18882690055845794,14,18,True,2.0588834461584162
endothelial cells,SH3BP5,0.7047324217510542,1.0921034361180917,-0.38737101436703747,down_in_CKD,-2.01121647277933,-5.5614133572790285,7.349870302191777e-06,0.002698348423814565,0.38473360655737704,0.5765567765567765,-0.19182316999939947,14,18,True,2.0013980418423554
endothelial cells,JUND,1.1284708594284962,1.856503138066274,-0.7280322786377778,down_in_CKD,-1.4963481482792096,-4.596452056107079,0.00011615957045042114,0.021113710158341254,0.5204918032786885,0.7593406593406593,-0.23884885606197082,14,18,True,1.8252022035124165
endothelial cells,DNAJC1,0.19257408853581975,0.3807283616099812,-0.18815427307416144,down_in_CKD,-2.4186209562042276,-6.850956102050427,1.5977907969671661e-07,0.0001316579616700945,0.13422131147540983,0.25970695970695973,-0.1254856482315499,14,18,True,1.7659382053122012
endothelial cells,INPP1,0.1489224858012484,0.3636310297093836,-0.2147085439081352,down_in_CKD,-2.2671738152680785,-7.010298020130824,4.027266414410961e-07,0.0002917316016285801,0.09118852459016394,0.25384615384615383,-0.1626576292559899,14,18,True,1.7207809593433994
endothelial cells,ZBTB16,0.10446892289943015,0.37382469792721795,-0.2693557750277878,down_in_CKD,-2.0663879668659946,-5.93494357126616,1.7117021072275058e-06,0.0008939424526196607,0.10425204918032786,0.2805860805860806,-0.1763340314057527,14,18,True,1.6968813798084186
endothelial cells,ANXA1,0.7110270119945741,1.1425009294786836,-0.43147391748410957,down_in_CKD,-1.7107827693357316,-5.065332248556871,2.0940842337914287e-05,0.006114066408581589,0.40496926229508196,0.5754578754578754,-0.17048861316279346,14,18,True,1.6340384255412364
endothelial cells,UBC,1.3993203975941746,1.907151056438778,-0.5078306588446033,down_in_CKD,-1.6666394213990405,-4.715911783146619,5.632169582320678e-05,0.011933762749282898,0.6572745901639344,0.8282051282051283,-0.17093053804119385,14,18,True,1.6277590574818195
endothelial cells,JUN,0.5190505008646895,1.1554526713912125,-0.636402170526523,down_in_CKD,-1.4985863315537982,-4.653085203924782,0.00012204704385455298,0.021968467893819538,0.26229508196721313,0.5362637362637362,-0.2739686542965231,14,18,True,1.5814315193344362
endothelial cells,ADCY1,0.053790874041158745,0.19860761894698414,-0.1448167449058254,down_in_CKD,-2.4789269236649507,-7.434211113400411,4.525368011902049e-08,4.4158064705612626e-05,0.03483606557377049,0.15421245421245422,-0.11937638863868373,14,18,True,1.5633984059813708
endothelial cells,RILPL2,0.23977237439212867,0.4478883435413353,-0.2081159691492066,down_in_CKD,-2.2443329387661506,-6.302004784428869,7.95376846521387e-07,0.000508492646017466,0.16162909836065573,0.3058608058608059,-0.14423170750015016,14,18,True,1.5384335750934546
endothelial cells,RARB,0.16252442790871058,0.3881387359156345,-0.22561430800692395,down_in_CKD,-2.082400373200563,-6.265663417719525,1.004031182190352e-06,0.0006204912705936376,0.1098872950819672,0.2805860805860806,-0.17069878550411338,14,18,True,1.5068347411791607
endothelial cells,UBB,1.2243987494604605,1.6116359229922468,-0.3872371735317863,down_in_CKD,-1.7505577605941767,-5.0055978309326,2.3679916080071916e-05,0.006601889385331328,0.6132172131147541,0.7567765567765568,-0.14355934366180267,14,18,True,1.4780055571848685
endothelial cells,SOCS1,0.015761923931941153,0.15041640176865467,-0.13465447783671353,down_in_CKD,-2.6897452356590827,-8.535284073833541,9.221537436690703e-08,8.548365203812282e-05,0.012295081967213115,0.11098901098901098,-0.09869392902179787,14,18,True,1.4734159764383499
endothelial cells,IRAK3,0.16238443680577394,0.34210706048766437,-0.17972262368189043,down_in_CKD,-2.2432510922403734,-6.57703157136366,2.928710663092014e-07,0.00022624289872385806,0.10553278688524591,0.24578754578754577,-0.14025475890229988,14,18,True,1.4697003942738591
endothelial cells,KLF4,0.2874830576459802,0.6926917260255834,-0.4052086683796032,down_in_CKD,-1.6821577586054623,-5.140014372013571,2.6275862165749216e-05,0.007060209921057833,0.14830942622950818,0.3882783882783883,-0.2399689620488801,14,18,True,1.4662994902125501
endothelial cells,PLAT,1.1693095740370463,1.705453702199657,-0.5361441281626107,down_in_CKD,-1.692453706577757,-4.550674529658954,0.00014917213829036572,0.02548987505901733,0.4894979508196721,0.6608058608058608,-0.17130790998618867,14,18,True,1.4460605356770622
endothelial cells,MCL1,0.2743980363095031,0.6929397464649215,-0.4185417101554184,down_in_CKD,-1.6798798274729412,-5.273857163935451,3.66774480880905e-05,0.008831167370820752,0.16905737704918034,0.4021978021978022,-0.23314042514862188,14,18,True,1.4441542024309806
endothelial cells,TMEM88,0.9055648895631122,1.255372122204578,-0.34980723264146574,down_in_CKD,-1.887538267251642,-5.138550724264816,2.8425596705504367e-05,0.007353428583573832,0.453125,0.6318681318681318,-0.17874313186813184,14,18,True,1.4087024090329745
endothelial cells,TPT1,2.5137221612237535,3.0798803453535757,-0.5661581841298222,down_in_CKD,-1.6425894318163827,-4.419704474808936,0.00020437472774944939,0.03144487512427213,0.8388831967213115,0.9531135531135531,-0.11423035639224155,14,18,True,1.3972267071638582
endothelial cells,KLF6,0.42568715175982447,0.7327217394123837,-0.30703458765255925,down_in_CKD,-1.7921707554891,-5.3156890677126585,1.059568494699869e-05,0.003571709071224649,0.24769467213114754,0.42454212454212453,-0.176847452410977,14,18,True,1.346550516406619
endothelial cells,SOCS2,0.34964776118392,0.5454260251543471,-0.19577826397042714,down_in_CKD,-2.1196526925994155,-6.050709898739856,1.2901102015709802e-06,0.0007359582503731069,0.2182377049180328,0.34285714285714286,-0.12461943793911007,14,18,True,1.3001992974389747
endothelial cells,KCNMB4,0.12379168897920949,0.3190521412133392,-0.1952604522341297,down_in_CKD,-2.0723303590840843,-6.171805277427859,1.0622353408561522e-06,0.0006456997776876414,0.08504098360655737,0.23223443223443224,-0.14719344862787487,14,18,True,1.290802483233012
endothelial cells,GMFG,0.5331084098176616,0.8409104051022602,-0.3078019952845986,down_in_CKD,-1.9431397381343458,-5.234832649127329,2.681011932565653e-05,0.007100851604252458,0.3099385245901639,0.48754578754578753,-0.17760726295562362,14,18,True,1.285136145101521
endothelial cells,EIF1,1.8722875739485147,2.400198331819927,-0.5279107578714124,down_in_CKD,-1.4954146522017966,-4.340690715598382,0.00014862306648907278,0.02548987505901733,0.7548668032786885,0.8963369963369964,-0.14147019305830788,14,18,True,1.2580858144824987
endothelial cells,BAIAP2,0.07406808380533474,0.29082112862771864,-0.2167530448223839,down_in_CKD,-2.0499169700381765,-6.45992387915509,3.155175645659616e-06,0.0014809356068488425,0.05225409836065574,0.2153846153846154,-0.16313051702395964,14,18,True,1.2572036215901632
endothelial cells,PDLIM1,0.32333119697444906,0.6670200154734183,-0.3436888184989692,down_in_CKD,-1.679739547359998,-5.002413309518585,2.6195918223740362e-05,0.007060209921057833,0.19236680327868852,0.41025641025641024,-0.21788960697772172,14,18,True,1.2418941563773018
endothelial cells,CDKN1C,0.32642497163375367,0.5881450582955894,-0.2617200866618357,down_in_CKD,-1.9155805934137191,-5.361371558859424,1.0557169119626685e-05,0.003571709071224649,0.21542008196721313,0.35824175824175825,-0.14282167627454512,14,18,True,1.2268555919868875
endothelial cells,DDIT4,0.37250299028493034,0.7021750745401243,-0.32967208425519395,down_in_CKD,-1.7207214346237476,-4.929462117316969,2.9100362861187193e-05,0.007441665206157386,0.21618852459016394,0.4032967032967033,-0.18710817870653937,14,18,True,1.2073458207109387
endothelial cells,TIPARP,0.049637000771628595,0.15397273365994563,-0.10433573288831703,down_in_CKD,-2.5684293409644274,-7.779320005856716,2.7305285114217678e-08,3.163999912609973e-05,0.03253073770491803,0.11025641025641025,-0.07772567255149222,14,18,True,1.2058419424134026
endothelial cells,POMP,0.8697003335945063,1.1969915227002332,-0.32729118910572697,down_in_CKD,-1.7628664636255469,-4.9145694219227005,3.709752471237932e-05,0.008874685266677581,0.4682377049180328,0.6274725274725275,-0.15923482255449467,14,18,True,1.1838555431124917
endothelial cells,CALCOCO2,0.40242925575395583,0.6106022131496559,-0.20817295739570008,down_in_CKD,-1.9626126557763368,-5.667761266285591,3.5541496962289935e-06,0.0016101182355083602,0.2581967213114754,0.39706959706959705,-0.13887287575812163,14,18,True,1.141174236448033
endothelial cells,B4GALT1,0.3642181715673672,0.5882973678534529,-0.2240791962860857,down_in_CKD,-1.8693112527202698,-5.722955970518313,6.21100526377731e-06,0.002374268816297553,0.22592213114754098,0.38351648351648354,-0.15759435236894256,14,18,True,1.0993216717895138
endothelial cells,MAP1LC3A,0.25490296031071197,0.40141304880933654,-0.14651008849862457,down_in_CKD,-2.2087813888138093,-6.274340634715073,7.30614533353959e-07,0.00047528398064499653,0.16572745901639344,0.2886446886446886,-0.12291722962829518,14,18,True,1.0753670510980025
endothelial cells,APOL3,0.2512863397935038,0.3920317433380753,-0.1407454035445715,down_in_CKD,-2.250895734898698,-6.360289694563124,6.180007287137518e-07,0.00041664485492192576,0.14805327868852458,0.2703296703296703,-0.12227639164114573,14,18,True,1.0708690370992662
endothelial cells,CDC42EP3,0.08658345107117046,0.2315641794187696,-0.14498072834759915,down_in_CKD,-2.1683138358712992,-6.637502827019996,6.436872193582319e-07,0.00042621289453220073,0.0509733606557377,0.15494505494505495,-0.10397169428931724,14,18,True,1.0595231219920325
endothelial cells,FLT1,1.3573628667541375,1.8636883976526046,-0.5063255308984671,down_in_CKD,-1.4827707594589477,-4.14096456044369,0.00029484671266822514,0.041101188367435294,0.6032274590163934,0.7934065934065934,-0.19017913439019996,14,18,True,1.040669190264778
endothelial cells,FOSB,0.0869810024158912,0.6516472845912005,-0.5646662821753092,down_in_CKD,-1.3774021606679139,-4.379454010576682,0.0003720425931070311,0.04773473824362877,0.07223360655737705,0.3087912087912088,-0.23655760223383177,14,18,True,1.0275662339879392
endothelial cells,HLA-DRB5,0.20029657798181463,1.186048248137292,-0.9857516701554774,down_in_CKD,-1.1511668298283566,-3.557794978028958,0.0016845678470693074,0.1312264196834662,0.09605532786885246,0.626007326007326,-0.5299519981384735,14,18,True,1.0008382516706607
endothelial cells,LRRC8A,0.21111604666330533,0.38514139430245303,-0.1740253476391477,down_in_CKD,-2.140673901530063,-5.796956489265453,6.078107874713098e-06,0.002347669166607934,0.1362704918032787,0.26996336996336995,-0.13369287816009126,14,18,True,0.9795206334403872
endothelial cells,STARD13,0.0889510362929657,0.2629799258413724,-0.17402888954840673,down_in_CKD,-1.9674968628743552,-6.0719000636888065,3.3291111585744455e-06,0.0015430430219992557,0.06685450819672131,0.19230769230769232,-0.125453184110971,14,18,True,0.9627029997479081
