gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,1,Electron Transport Chain OXPHOS System In Mitochondria WP111,1.04759292692826e-27,35.214285714285715,2187.627721246329,NDUFB9;COX7B;NDUFB7;UQCRB;NDUFB6;NDUFA12;COX17;NDUFB3;NDUFB1;COX7A2;COX5B;COX7A1;COX7C;COX5A;UQCRH;COX8A;NDUFA8;NDUFA6;NDUFA1;COX6C;COX6B1;NDUFS6;NDUFAB1;SLC25A5;SLC25A4,25,3.855141971095997e-25,0,0,24.413959623805436,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,2,Nonalcoholic Fatty Liver Disease WP4396,5.235191585005124e-26,24.176004733512357,1407.3289693802578,NDUFB9;COX7B;NDUFB7;UQCRB;NDUFB6;NDUFA12;NDUFB3;NDUFB1;COX7A2;COX5B;COX7A1;COX7C;COX5A;UQCRH;CYC1;COX8A;NDUFA8;JUN;NDUFA6;NDUFA1;COX6C;COX6B1;NDUFS6;DDIT3;NDUFAB1;CYCS;ATF4,27,9.632752516409429e-24,0,0,23.01624959741532,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,3,Mitochondrial Complex I Assembly Model OXPHOS System WP4324,2.7254481872677197e-13,28.659574468085108,829.1493843543134,NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB6;NDUFA12;NDUFS6;NDUFAF4;NDUFB3;NDUFAB1;NDUFA1;NDUFB1,12,3.343216443048403e-11,0,0,10.47583550585473,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,4,Mitochondrial Complex IV Assembly WP4922,3.5269237343751586e-11,37.27225130890052,897.0689170493569,COX8A;COX7B;COX17;COX7A2;COX5B;COX6C;COX7C;COX5A;COX6B1,9,3.244769835625146e-09,0,0,8.488816103998618,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,5,Circadian Rhythm Genes WP3594,1.2343476051816054e-07,7.252133348503811,115.36369615096949,KLF10;EGR1;JUN;JUND;USP2;CREM;PER1;NFIL3;ID2;BHLHE40;UBC;KLF9;ATF4,13,8.737579155446043e-06,0,0,5.058608876869413,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,6,Oxidative Phosphorylation WP623,1.424605297083594e-07,15.823717948717949,249.44826809728175,NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB6;NDUFS6;NDUFAB1;NDUFB1,8,8.737579155446043e-06,0,0,5.058608876869413,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,7,VEGFA VEGFR2 Signaling WP3888,3.493643257805904e-07,4.654112877413849,69.19339680580354,EGR1;JUN;FLT1;IDH2;PXN;FOXO3;NDRG1;APOLD1;RPL7;HERPUD1;NFKBIA;RCAN1;NR4A1;NR4A3;CSRP1;CYCS;SLC25A25;ATF4,18,1.8366581698179608e-05,0,0,4.735971665020169,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,8,Macrophage Stimulating Protein MSP Signaling WP5353,1.390951229688514e-06,9.37696335078534,126.4532521894288,EGR1;NR4A1;JUN;FLT1;DUSP1;FOS;NDRG1;NR0B2;DUSP6,9,6.14627227012591e-05,0,0,4.211388205095881,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,9,5Q35 Copy Number Variation WP5380,1.503164413889489e-06,9.282722513089006,124.46216850870448,COX8A;JUN;COX7B;COX5B;COX6C;COX7A1;COX7C;COX5A;COX6B1,9,6.14627227012591e-05,0,0,4.211388205095881,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,10,Transcriptional Cascade Regulating Adipogenesis WP4211,6.464958568914984e-06,44.87755102040816,536.2469711319385,CEBPB;CEBPD;DDIT3;KLF15,4,0.0002308429982703869,0,0,3.6366832935566342,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,11,Adipogenesis WP236,6.900198317864827e-06,7.600291820444597,90.3215670610236,CDKN1A;CEBPB;KLF6;GADD45B;CEBPD;EPAS1;GADD45A;DDIT3;KLF15,9,0.0002308429982703869,0,0,3.6366832935566342,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,12,Exercise Induced Circadian Regulation WP410,8.024310163207819e-06,14.549337260677467,170.70788117651412,IDI1;PER1;CEBPB;KLF9;TOB1;HERPUD1,6,0.00023760827690990125,0,0,3.624138435097878,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,13,Chromosomal And Microsatellite Instability In Colorectal Cancer WP4216,8.393770651708468e-06,10.844559585492227,126.75143709449718,CDKN1A;JUN;GADD45B;GADD45A;CYCS;FOS;GADD45G,7,0.00023760827690990125,0,0,3.624138435097878,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,14,Osteoarthritic Chondrocyte Hypertrophy WP5373,1.0219798089852524e-05,13.88659793814433,159.57344828850043,CEBPB;JUN;JUND;EPAS1;FOS;FOSL2,6,0.00026863469264755207,0,0,3.5708379013752145,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,15,Oncostatin M Signaling WP2374,1.986743975303061e-05,12.216494845360824,132.26100624841683,NFKBIA;EGR1;CEBPB;JUND;PXN;FOS,6,0.00047395573066055113,0,0,3.3242622212535546,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,16,Gastrin Signaling WP4659,2.0606770898284833e-05,7.668613707165109,82.7435048848588,NFKBIA;EGR1;JUN;CDKN1A;PXN;FOS;FOXO3;RHOB,8,0.00047395573066055113,0,0,3.3242622212535546,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,17,Spinal Cord Injury WP2431,2.6408386238921118e-05,7.3907657657657655,77.91218842123995,EGR1;NR4A1;ZFP36;BTG2;GADD45A;FOS;FOXO3;RHOB,8,0.0005716638903484102,0,0,3.2428592395116485,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,18,Myometrial Relaxation And Contraction Pathways WP289,2.8077395078240487e-05,6.299711507639705,66.02441467378554,JUN;RGS3;IGFBP5;GNG7;MAFF;ADM;FOS;ATF3;ATF4,9,0.0005740267438218055,0,0,3.2410678734144525,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,19,Endometrial Cancer WP4155,3.923224930218151e-05,10.712425393380357,108.68839083893262,CDKN1A;GADD45B;GADD45A;FOS;FOXO3;GADD45G,6,0.000759866723326463,0,0,3.1192625740345092,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,20,TGF Beta Signaling Pathway WP366,5.5521084938358856e-05,6.611559139784946,64.78499991808222,KLF10;JUN;CDKN1A;KLF6;JUND;NEDD9;FOS;ATF3,8,0.001021587962865803,0,0,2.9907242329057198,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,21,Non Small Cell Lung Cancer WP4255,8.373603081935455e-05,9.24742268041237,86.81333560855745,CDKN1A;GADD45B;GADD45A;CYCS;FOXO3;GADD45G,6,0.0014673742543582133,0,0,2.8334591050569715,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,22,Prolactin Signaling WP2037,9.765585329499879e-05,8.974530018192844,82.87135728306936,SOCS2;NFKBIA;JUN;CISH;PXN;FOS,6,0.0016335160914799796,0,0,2.7868765830088438,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,23,Copper Homeostasis WP3286,0.00015378766910572388,11.011148272017838,96.67719560223861,MT2A;JUN;COX17;FOXO3;MT1E,5,0.002460602705691582,0,0,2.6089585027761295,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,24,MAPK Signaling WP382,0.00019276798750342595,4.36306868867083,37.32179091476809,NR4A1;JUN;JUND;GADD45A;DUSP1;DDIT3;FOS;DUSP8;DUSP6;ATF4,10,0.0029557758083858647,0,0,2.529328509679554,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,25,Estrogen Receptor Pathway WP2881,0.00026165809515097364,30.13705583756345,248.5846578261998,JUN;PDK4;NR0B2,3,0.003703468423675319,0,0,2.4313913538561907,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,26,Neuroinflammation WP4919,0.00026165809515097364,30.13705583756345,248.5846578261998,NFKBIA;JUN;FOS,3,0.003703468423675319,0,0,2.4313913538561907,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,27,White Fat Cell Differentiation WP4149,0.0002802069439193893,14.411078717201166,117.88236655881762,CEBPB;CEBPD;DDIT3;KLF15,4,0.0038191168652716764,0,0,2.4180370519785885,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,28,Corticotropin Releasing Hormone Signaling WP2355,0.0003239702699296485,7.0896667465835534,56.96447128938902,NFKBIA;CRHBP;NR4A1;JUND;FOS;FOSL2,6,0.004257894976218237,0,0,2.370805054924798,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,29,Nuclear Receptors Meta Pathway WP2882,0.00033607711411313946,3.745036408402745,29.953437543668265,EGR1;JUN;JUND;SEC14L1;GADD45B;TSC22D3;BHLHE40;MAFF;PDK4;NR0B2;FKBP5,11,0.004264702689435701,0,0,2.3701112399567505,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,30,Small Cell Lung Cancer WP4658,0.0003852164645539641,6.8496467045059655,53.849902677165886,NFKBIA;CDKN1A;GADD45B;GADD45A;CYCS;GADD45G,6,0.004725321965195294,0,0,2.3255685949972764,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,31,Quercetin And Nf kB AP 1 Induced Apoptosis WP2435,0.0005011239651713426,23.178836392034363,176.1280286078286,NFKBIA;JUN;FOS,3,0.00576292559947044,0,0,2.239356987211636,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,32,Mitochondrial Complex III Assembly WP4921,0.0005011239651713426,23.178836392034363,176.1280286078286,UQCRB;CYC1;UQCRH,3,0.00576292559947044,0,0,2.239356987211636,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,33,Melanoma WP4685,0.0005949605404203094,8.032967032967033,59.66097044986614,CDKN1A;GADD45B;GADD45A;FOS;GADD45G,5,0.0064140217787756245,0,0,2.1928695697605534,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,34,DNA Damage Response WP707,0.000636296477275603,7.907051282051282,58.1946793072387,CDKN1A;GADD45B;GADD45A;CYCS;GADD45G,5,0.0064140217787756245,0,0,2.1928695697605534,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,35,miRNA Regulation Of DNA Damage Response WP1530,0.000636296477275603,7.907051282051282,58.1946793072387,CDKN1A;GADD45B;GADD45A;CYCS;GADD45G,5,0.0064140217787756245,0,0,2.1928695697605534,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,36,Th17 Cell Differentiation Pathway WP5130,0.000636296477275603,7.907051282051282,58.1946793072387,NFKBIA;PER1;JUN;NFIL3;FOS,5,0.0064140217787756245,0,0,2.1928695697605534,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,37,ATM Signaling WP2516,0.0006690615196291692,11.204081632653061,81.89774214112175,NFKBIA;CDKN1A;JUN;GADD45A,4,0.0064140217787756245,0,0,2.1928695697605534,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,38,Catabolism Of Skeletal Muscle In Cachexia WP5474,0.0006690615196291692,11.204081632653061,81.89774214112175,NFKBIA;CEBPB;MAP1LC3A;FOXO3,4,0.0064140217787756245,0,0,2.1928695697605534,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,39,Glucocorticoid Receptor Pathway WP2880,0.0006797468732941558,7.785009861932939,56.7822276589064,JUN;SEC14L1;GADD45B;TSC22D3;BHLHE40,5,0.0064140217787756245,0,0,2.1928695697605534,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,40,miR 517 Relationship With ARCN1 And USP1 WP3596,0.0009754681839454337,66.65656565656566,462.10284137848555,CDKN1A;ID2,2,0.008678931249806749,0,0,2.0615337518844363,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,41,Hypertrophy Model WP516,0.0009905301969888136,17.721409375933113,122.58377707877821,JUND;NR4A3;ATF3,3,0.008678931249806749,0,0,2.0615337518844363,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,42,Imatinib And Chronic Myeloid Leukemia WP3640,0.0009905301969888136,17.721409375933113,122.58377707877821,FLT1;GADD45A;FOXO3,3,0.008678931249806749,0,0,2.0615337518844363,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,43,Endoplasmic Reticulum Stress Response In Coronavirus Infection WP4861,0.0011401784650819998,9.60058309037901,65.05902796595161,PPP1R15B;MAP1LC3A;DDIT3;ATF4,4,0.0097578063988413,0,0,2.0106478028202894,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,44,Photodynamic Therapy Induced AP 1 Survival Signaling WP3611,0.0015598806233641427,8.763975155279503,56.64285082988862,CDKN1A;JUN;FOS;MCL1,4,0.013046274304500102,0,0,1.8845134944569182,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,45,T Cell Activation SARS CoV 2 WP5098,0.0019039709857819793,6.091133765832561,38.15372640786974,NFKBIA;CDKN1A;JUN;FOS;FOXO3,5,0.01518272898125703,0,0,1.8186501602599696,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,46,Apoptosis Modulation And Signaling WP1772,0.0020011939426603457,6.018315018315018,37.397877562115745,NFKBIA;JUN;CYCS;FOS;MCL1,5,0.01518272898125703,0,0,1.8186501602599696,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,47,Pancreatic Adenocarcinoma Pathway WP4263,0.0020011939426603457,6.018315018315018,37.397877562115745,CDKN1A;GADD45B;GADD45A;DUSP6;GADD45G,5,0.01518272898125703,0,0,1.8186501602599696,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,48,mRNA Protein And Metabolite Inducation Pathway By Cyclosporin A WP3953,0.0020216133697869413,39.98989898989899,248.09171029141777,SLC3A2;ATF4,2,0.01518272898125703,0,0,1.8186501602599696,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,49,Arachidonate Epoxygenase Epoxide Hydrolase WP678,0.0020216133697869413,39.98989898989899,248.09171029141777,COX8A;COX5A,2,0.01518272898125703,0,0,1.8186501602599696,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,50,Amino Acid Metabolism WP3925,0.002206451644607548,5.877757901013715,35.950540003303175,ARG2;GOT1;PDK4;ACO2;GLUL,5,0.01603447829897513,0,0,1.7949451657986626,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,51,Overlap Between Signal Transduction Pathways LMNA Laminopathies WP4879,0.0022221695468688358,7.902761104441777,48.280111503025644,CDKN1A;CEBPB;CEBPD;EMD,4,0.01603447829897513,0,0,1.7949451657986626,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,52,Photodynamic Therapy Induced Unfolded Protein Response WP3613,0.002414105915085408,12.548223350253807,75.62094298941223,DDIT3;ATF3;ATF4,3,0.017084441860604427,0,0,1.7673992047972684,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,53,2Q37 Copy Number Variation Syndrome WP5224,0.0024871028937918406,4.679619349722443,28.061977332814493,NFKBIA;GABARAPL2;GABARAPL1;JUN;MAP1LC3A;SH3BP4,6,0.017268940847460328,0,0,1.762734298113447,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,54,Pre Implantation Embryo WP3527,0.0027008557557807325,7.462585034013605,44.13512048118966,EGR1;ZFP36;DDIT3;ZFP36L2,4,0.0184058318171724,0,0,1.7350445506462897,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,55,Focal Adhesion PI3K Akt mTOR Signaling WP3932,0.0035408744765586518,3.1262955443957687,17.642878610928765,TBC1D1;CDKN1A;FLT1;EPAS1;GNG7;DDIT4;ITGA8;FOXO3;ATF4,9,0.02369166922497425,0,0,1.6254043394605746,200
whole_ckd_down_traditional,Whole Dataset CKD Down Traditional,WikiPathways,WikiPathways_2024_Human,56,Development And Heterogeneity Of The ILC Family WP3893,0.0039464456405227145,10.382110974969368,57.46436072810552,NFIL3;ZBTB16;ID2,3,0.025933785637720693,0,0,1.5861340832472002,200
