gene_set,gene_set_label,library_short,library_name,rank,term,p_value,z_score,combined_score,overlap_genes,overlap_n,adjusted_p_value,old_p_value,old_adjusted_p_value,neg_log10_adjusted_p_value,gene_list_size
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,1,Regulated Necrosis,2.9999912293467253e-05,15.665297092288244,163.14335571726807,CASP1;TNFSF10;FLOT2;FAS;TP53,5,0.011693197934493013,0,0,1.9320666988149686,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,2,TP53 Regulates Transcription of Caspase Activators and Caspases,4.23666591829457e-05,57.60289855072464,580.0121594152153,CASP10;CASP1;TP53,3,0.011693197934493013,0,0,1.9320666988149686,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,3,TP53 Regulates Transcription of Cell Death Genes,0.0001302517015048923,17.405263157894737,155.70821199487585,CASP10;CASP1;FAS;TP53,4,0.023966313076900184,0,0,1.6203987717032846,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,4,FasL CD95L Signaling,0.0003411696763350154,114.24712643678161,912.0497332901724,CASP10;FAS,2,0.03865615217780924,0,0,1.4127813777030125,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,5,Extracellular Matrix Organization,0.0004101842988117935,4.87920298879203,38.052435657153474,ADAMTS5;COL4A2;MMP2;SDC3;ADAM10;ITGB8;ITGB6;CTSS,8,0.03865615217780924,0,0,1.4127813777030125,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,6,Attachment and Entry 9694614,0.00047141671194359213,22.52438563327032,172.53157091442787,NRP1;SDC3;GPC4,3,0.03865615217780924,0,0,1.4127813777030125,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,7,Signal Transduction,0.0004902048283417838,2.1812797857167703,16.622851023731233,NRP1;LRRK2;PTEN;RASGRP1;MDK;CASP10;TNFSF10;FLOT2;ITGB8;SLC38A9;ITGB6;TRIM27;ECT2;FZD1;GABBR1;STAT1;MMP2;WDR19;ADAM10;VANGL1;FMNL2;COL4A2;TBL1XR1;RLN2;FAS;PDE5A;SPRY1;TP53;DGKH,29,0.03865615217780924,0,0,1.4127813777030125,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,8,Regulation of Necroptotic Cell Death,0.0008764448031866927,17.858770614692652,125.719259352402,TNFSF10;FLOT2;FAS,3,0.04817264644142562,0,0,1.3171994943677963,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,9,CDC6 Association With the ORC Origin Complex,0.0009442619982927832,57.11494252873563,397.8116797152368,ORC5;ORC4,2,0.04817264644142562,0,0,1.3171994943677963,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,10,TRAIL Signaling,0.0009442619982927832,57.11494252873563,397.8116797152368,CASP10;TNFSF10,2,0.04817264644142562,0,0,1.3171994943677963,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,11,Activation of the Pre-Replicative Complex,0.0009599621573472497,17.262608695652172,119.95125095958012,ORC5;ORC4;MCM7,3,0.04817264644142562,0,0,1.3171994943677963,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,12,RIPK1-mediated Regulated Necrosis,0.0010483557191815968,16.70490883590463,114.60456703778765,TNFSF10;FLOT2;FAS,3,0.04822436308235346,0,0,1.316733499539878,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,13,E2F-enabled Inhibition of Pre-Replication Complex Formation,0.0012093708785025658,48.95320197044335,328.8507214789553,ORC5;ORC4,2,0.051351748071801255,0,0,1.289444767937872,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,14,Activation of ATR in Response to Replication Stress,0.0013438567068996617,15.228644501278772,100.69502072905529,ORC5;ORC4;MCM7,3,0.05298635015775809,0,0,1.275835994826818,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,15,Degradation of the Extracellular Matrix,0.0014533307923183193,6.47230416256965,42.28937042525833,ADAMTS5;COL4A2;MMP2;ADAM10;CTSS,5,0.053482573157314146,0,0,1.2717877061007907,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,16,CASP8 Activity Is Inhibited,0.0018334402039742494,38.07088122605364,239.90598737606584,TNFSF10;FAS,2,0.05622549958854365,0,0,1.2500666769757665,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,17,Regulation by c-FLIP,0.0018334402039742494,38.07088122605364,239.90598737606584,TNFSF10;FAS,2,0.05622549958854365,0,0,1.2500666769757665,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,18,Dimerization of Procaspase-8,0.0018334402039742494,38.07088122605364,239.90598737606584,TNFSF10;FAS,2,0.05622549958854365,0,0,1.2500666769757665,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,19,TP53 Regulates Transcription of Death Receptors and Ligands,0.002191656893273637,34.262068965517244,209.7899870781372,FAS;TP53,2,0.06367340026773935,0,0,1.196041957453798,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,20,Early SARS-CoV-2 Infection Events,0.0025262384545090047,12.035793731041457,71.98636947297132,NRP1;SDC3;GPC4,3,0.06782530615859331,0,0,1.1686082371876332,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,21,SARS-CoV-2 Infection,0.002580310560381267,4.034387328504976,24.044325225772866,NRP1;STAT1;GALNT1;STAT2;SDC3;GPC4;PARP8,7,0.06782530615859331,0,0,1.1686082371876332,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,22,"Defective EXT1 Causes Exostoses 1, TRPS2 and CHDS",0.002998619131128124,28.548850574712645,165.85749896251147,SDC3;GPC4,2,0.07196685914707499,0,0,1.1428674508328505,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,23,Defective EXT2 Causes Exostoses 2,0.002998619131128124,28.548850574712645,165.85749896251147,SDC3;GPC4,2,0.07196685914707499,0,0,1.1428674508328505,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,24,Chondroitin Sulfate Dermatan Sulfate Metabolism,0.0032065354536986983,11.009250693802036,63.22132915202483,DSEL;SDC3;GPC4,3,0.07375031543507006,0,0,1.1322361178390554,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,25,Orc1 Removal From Chromatin,0.004878632662431501,9.40411067193676,50.057049386467085,ORC5;ORC4;MCM7,3,0.10540189877516919,0,0,0.977151565402878,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,26,Caspase Activation via Death Receptors in the Presence of Ligand,0.004964582188685505,21.407327586206897,113.57499528522725,TNFSF10;FAS,2,0.10540189877516919,0,0,0.977151565402878,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,27,Regulation of PTEN Gene Transcription,0.005618113385789902,8.916341829085457,46.20233780038593,PTEN;SLC38A9;TP53,3,0.10893875510160145,0,0,0.9628175919378102,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,28,Transcriptional Regulation by TP53,0.005699402286586427,3.4688237533307955,17.92477895165158,DYRK2;CASP10;CASP1;PTEN;FAS;SLC38A9;TP53,7,0.10893875510160145,0,0,0.9628175919378102,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,29,Defective B3GALT6 Causes EDSP2 and SEMDJL1,0.00611793733360443,19.026819923371647,96.97076380041771,SDC3;GPC4,2,0.10893875510160145,0,0,0.9628175919378102,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,30,Defective B3GAT3 Causes JDSSDHD,0.00611793733360443,19.026819923371647,96.97076380041771,SDC3;GPC4,2,0.10893875510160145,0,0,0.9628175919378102,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,31,"Defective B4GALT7 Causes EDS, Progeroid Type",0.00611793733360443,19.026819923371647,96.97076380041771,SDC3;GPC4,2,0.10893875510160145,0,0,0.9628175919378102,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,32,Collagen Degradation,0.0064213196453466815,8.476550249465431,42.79074142903954,COL4A2;MMP2;ADAM10,3,0.11076776388223025,0,0,0.9555866114941746,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,33,Programmed Cell Death,0.006971202031620597,4.42140964017789,21.956577068840843,TNFSF10;CASP1;FAS;FLOT2;TP53,5,0.11451711181231314,0,0,0.9411296136699322,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,34,Immune System,0.007053590220323635,1.9119478383458646,9.472207429531913,MAP3K1;TMEM63A;STAT1;RAB3D;MMP2;STAT2;CFI;PTEN;ADAM10;TNFRSF11B;RASGRP1;CTSS;MALT1;ENAH;RNF144B;IFI16;UBE2Q2;CASP10;RNF217;CASP1;TP53;TRIM22,22,0.11451711181231314,0,0,0.9411296136699322,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,35,E2F Mediated Regulation of DNA Replication,0.007381193073535342,17.122413793103448,84.05084711071902,ORC5;ORC4,2,0.11641195933118598,0,0,0.9340024010886939,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,36,Signaling by NOTCH,0.008016323728183328,4.2681762970675,20.599394052856223,TBL1XR1;MDK;STAT1;ADAM10;TP53,5,0.12269544426273551,0,0,0.9111715625239036,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,37,RHOB GTPase Cycle,0.008224151155292054,7.715120051914341,37.03782400179281,VANGL1;FLOT2;ECT2,3,0.12269544426273551,0,0,0.9111715625239036,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,38,HS-GAG Degradation,0.0087516484000045,15.564263322884013,73.7514673249073,SDC3;GPC4,2,0.12291876753166031,0,0,0.910381802929835,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,39,G2 M Checkpoints,0.008860373406914288,5.210130589631975,24.623943976044178,ORC5;ORC4;MCM7;TP53,4,0.12291876753166031,0,0,0.910381802929835,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,40,SARS-CoV Infections,0.0094095156121087,2.8782189239332094,13.42986679028326,NRP1;STAT1;GALNT1;STAT2;SDC3;CASP1;GPC4;PARP8,8,0.12291876753166031,0,0,0.910381802929835,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,41,NOTCH2 Activation and Transmission of Signal to the Nucleus,0.009476244823965937,14.88680659670165,69.35714300374292,MDK;ADAM10,2,0.12291876753166031,0,0,0.910381802929835,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,42,Regulation of IFNA IFNB Signaling,0.009476244823965937,14.88680659670165,69.35714300374292,STAT1;STAT2,2,0.12291876753166031,0,0,0.910381802929835,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,43,RHOC GTPase Cycle,0.009575193847574989,7.2789957134109,33.83699024625454,VANGL1;FMNL2;FLOT2,3,0.12291876753166031,0,0,0.910381802929835,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,44,A Tetrasaccharide Linker Sequence Is Required for GAG Synthesis,0.010226649705734121,14.26580459770115,65.37673370805467,SDC3;GPC4,2,0.12544690305700523,0,0,0.901540055767109,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,45,Interleukin-20 Family Signaling,0.010226649705734121,14.26580459770115,65.37673370805467,STAT1;STAT2,2,0.12544690305700523,0,0,0.901540055767109,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,46,PTEN Regulation,0.010754379608245976,4.912529550827423,22.265756254532494,PTEN;SLC38A9;TRIM27;TP53,4,0.12652919426825368,0,0,0.8978092575175587,118
epithelial_consensus,Epithelial Cells Consensus,Reactome,Reactome_Pathways_2024,47,Pyroptosis,0.011002538632022059,13.69448275862069,61.75703998561941,CASP1;TP53,2,0.12652919426825368,0,0,0.8978092575175587,118
